% Shemat-Suite version: 7.50 (Smarty)                                                                   
% data fit at iteration       4             
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
   180     1    59        5        2     0.22585182E+02  0.23776940E+02  0.50000000E+00 -0.11917573E+01 -0.23835147E+01  0.00000000E+00     1
   180     1    58        5        2     0.26156700E+02  0.25783595E+02  0.50000000E+00  0.37310517E+00  0.74621034E+00  0.00000000E+00     1
   180     1    57        5        2     0.29700877E+02  0.29646434E+02  0.50000000E+00  0.54442993E-01  0.10888599E+00  0.00000000E+00     1
   180     1    56        5        2     0.33204039E+02  0.32898073E+02  0.50000000E+00  0.30596567E+00  0.61193134E+00  0.00000000E+00     1
   180     1    55        5        2     0.36652525E+02  0.37044152E+02  0.50000000E+00 -0.39162698E+00 -0.78325396E+00  0.00000000E+00     1
   180     1    54        5        2     0.40032719E+02  0.40195831E+02  0.50000000E+00 -0.16311187E+00 -0.32622374E+00  0.00000000E+00     1
   180     1    53        5        2     0.43331087E+02  0.43200412E+02  0.50000000E+00  0.13067505E+00  0.26135010E+00  0.00000000E+00     1
   180     1    52        4        2     0.46938113E+02  0.47334515E+02  0.50000000E+00 -0.39640176E+00 -0.79280353E+00  0.00000000E+00     1
   180     1    51        4        2     0.50952334E+02  0.50466391E+02  0.50000000E+00  0.48594331E+00  0.97188661E+00  0.00000000E+00     1
   180     1    50        3        2     0.54280566E+02  0.54350216E+02  0.50000000E+00 -0.69650059E-01 -0.13930012E+00  0.00000000E+00     1
   180     1    49        3        2     0.56871247E+02  0.56976373E+02  0.50000000E+00 -0.10512635E+00 -0.21025270E+00  0.00000000E+00     1
   180     1    48        3        2     0.59412800E+02  0.60200081E+02  0.50000000E+00 -0.78728040E+00 -0.15745608E+01  0.00000000E+00     1
   180     1    47        3        2     0.61903714E+02  0.62169305E+02  0.50000000E+00 -0.26559057E+00 -0.53118114E+00  0.00000000E+00     1
   180     1    46        3        2     0.64342647E+02  0.64351833E+02  0.50000000E+00 -0.91859513E-02 -0.18371903E-01  0.00000000E+00     1
   180     1    45        3        2     0.66728441E+02  0.66047039E+02  0.50000000E+00  0.68140212E+00  0.13628042E+01  0.00000000E+00     1
   180     1    44        3        2     0.69060128E+02  0.68311372E+02  0.50000000E+00  0.74875611E+00  0.14975122E+01  0.00000000E+00     1
   180     1    43        3        2     0.71336939E+02  0.71616565E+02  0.50000000E+00 -0.27962643E+00 -0.55925285E+00  0.00000000E+00     1
   180     1    42        3        2     0.73558309E+02  0.73190501E+02  0.50000000E+00  0.36780807E+00  0.73561615E+00  0.00000000E+00     1
   180     1    41        3        2     0.75723880E+02  0.75583872E+02  0.50000000E+00  0.14000795E+00  0.28001589E+00  0.00000000E+00     1
   180     1    40        3        2     0.77833498E+02  0.77377983E+02  0.50000000E+00  0.45551505E+00  0.91103009E+00  0.00000000E+00     1
   180     1    39        3        2     0.79887215E+02  0.79956091E+02  0.50000000E+00 -0.68875866E-01 -0.13775173E+00  0.00000000E+00     1
   180     1    38        3        2     0.81885281E+02  0.81976424E+02  0.50000000E+00 -0.91142537E-01 -0.18228507E+00  0.00000000E+00     1
   180     1    37        3        2     0.83828139E+02  0.84677049E+02  0.50000000E+00 -0.84891034E+00 -0.16978207E+01  0.00000000E+00     1
   180     1    36        3        2     0.85716408E+02  0.86601439E+02  0.50000000E+00 -0.88503144E+00 -0.17700629E+01  0.00000000E+00     1
   180     1    35        3        2     0.87550876E+02  0.88057502E+02  0.50000000E+00 -0.50662610E+00 -0.10132522E+01  0.00000000E+00     1
   180     1    34        3        2     0.89332484E+02  0.89850152E+02  0.50000000E+00 -0.51766775E+00 -0.10353355E+01  0.00000000E+00     1
   180     1    33        3        2     0.91062303E+02  0.90453136E+02  0.50000000E+00  0.60916692E+00  0.12183338E+01  0.00000000E+00     1
   180     1    32        3        2     0.92741520E+02  0.93355181E+02  0.50000000E+00 -0.61366118E+00 -0.12273224E+01  0.00000000E+00     1
   180     1    31        3        2     0.94371413E+02  0.93876601E+02  0.50000000E+00  0.49481211E+00  0.98962421E+00  0.00000000E+00     1
   180     1    30        3        2     0.95953333E+02  0.95129860E+02  0.50000000E+00  0.82347291E+00  0.16469458E+01  0.00000000E+00     1
   180     1    29        3        2     0.97488677E+02  0.99048400E+02  0.50000000E+00 -0.15597227E+01 -0.31194455E+01  0.00000000E+00     1
   180     1    28        3        2     0.98978869E+02  0.99115197E+02  0.50000000E+00 -0.13632793E+00 -0.27265585E+00  0.00000000E+00     1
   180     1    27        3        2     0.10042534E+03  0.10007130E+03  0.50000000E+00  0.35403406E+00  0.70806812E+00  0.00000000E+00     1
   180     1    26        3        2     0.10182949E+03  0.10181136E+03  0.50000000E+00  0.18125669E-01  0.36251337E-01  0.00000000E+00     1
   180     1    25        3        2     0.10319270E+03  0.10320562E+03  0.50000000E+00 -0.12920538E-01 -0.25841077E-01  0.00000000E+00     1
   180     1    24        3        2     0.10451631E+03  0.10346024E+03  0.50000000E+00  0.10560764E+01  0.21121528E+01  0.00000000E+00     1
   180     1    23        3        2     0.10580159E+03  0.10542330E+03  0.50000000E+00  0.37828717E+00  0.75657434E+00  0.00000000E+00     1
   180     1    22        3        2     0.10704978E+03  0.10729449E+03  0.50000000E+00 -0.24470797E+00 -0.48941595E+00  0.00000000E+00     1
   180     1    21        3        2     0.10826211E+03  0.10826049E+03  0.50000000E+00  0.16207485E-02  0.32414970E-02  0.00000000E+00     1
