% Shemat-Suite version: 7.50 (Smarty)                                                                   
% data fit at iteration                final
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
   180     1    59        5        2     0.22584217E+02  0.23776940E+02  0.50000000E+00 -0.11927224E+01 -0.23854448E+01  0.00000000E+00     1
   180     1    58        5        2     0.26154824E+02  0.25783595E+02  0.50000000E+00  0.37122959E+00  0.74245918E+00  0.00000000E+00     1
   180     1    57        5        2     0.29698202E+02  0.29646434E+02  0.50000000E+00  0.51767428E-01  0.10353486E+00  0.00000000E+00     1
   180     1    56        5        2     0.33200732E+02  0.32898073E+02  0.50000000E+00  0.30265885E+00  0.60531769E+00  0.00000000E+00     1
   180     1    55        5        2     0.36648817E+02  0.37044152E+02  0.50000000E+00 -0.39533482E+00 -0.79066964E+00  0.00000000E+00     1
   180     1    54        5        2     0.40028905E+02  0.40195831E+02  0.50000000E+00 -0.16692512E+00 -0.33385024E+00  0.00000000E+00     1
   180     1    53        5        2     0.43327533E+02  0.43200412E+02  0.50000000E+00  0.12712153E+00  0.25424306E+00  0.00000000E+00     1
   180     1    52        4        2     0.46935346E+02  0.47334515E+02  0.50000000E+00 -0.39916852E+00 -0.79833705E+00  0.00000000E+00     1
   180     1    51        4        2     0.50950441E+02  0.50466391E+02  0.50000000E+00  0.48405001E+00  0.96810002E+00  0.00000000E+00     1
   180     1    50        3        2     0.54279395E+02  0.54350216E+02  0.50000000E+00 -0.70821831E-01 -0.14164366E+00  0.00000000E+00     1
   180     1    49        3        2     0.56870597E+02  0.56976373E+02  0.50000000E+00 -0.10577570E+00 -0.21155139E+00  0.00000000E+00     1
   180     1    48        3        2     0.59412624E+02  0.60200081E+02  0.50000000E+00 -0.78745643E+00 -0.15749129E+01  0.00000000E+00     1
   180     1    47        3        2     0.61903963E+02  0.62169305E+02  0.50000000E+00 -0.26534140E+00 -0.53068279E+00  0.00000000E+00     1
   180     1    46        3        2     0.64343275E+02  0.64351833E+02  0.50000000E+00 -0.85581258E-02 -0.17116252E-01  0.00000000E+00     1
   180     1    45        3        2     0.66729403E+02  0.66047039E+02  0.50000000E+00  0.68236400E+00  0.13647280E+01  0.00000000E+00     1
   180     1    44        3        2     0.69061382E+02  0.68311372E+02  0.50000000E+00  0.75000978E+00  0.15000196E+01  0.00000000E+00     1
   180     1    43        3        2     0.71338445E+02  0.71616565E+02  0.50000000E+00 -0.27812068E+00 -0.55624135E+00  0.00000000E+00     1
   180     1    42        3        2     0.73560030E+02  0.73190501E+02  0.50000000E+00  0.36952892E+00  0.73905785E+00  0.00000000E+00     1
   180     1    41        3        2     0.75725781E+02  0.75583872E+02  0.50000000E+00  0.14190974E+00  0.28381949E+00  0.00000000E+00     1
   180     1    40        3        2     0.77835549E+02  0.77377983E+02  0.50000000E+00  0.45756652E+00  0.91513304E+00  0.00000000E+00     1
   180     1    39        3        2     0.79889387E+02  0.79956091E+02  0.50000000E+00 -0.66703153E-01 -0.13340631E+00  0.00000000E+00     1
   180     1    38        3        2     0.81887550E+02  0.81976424E+02  0.50000000E+00 -0.88874218E-01 -0.17774844E+00  0.00000000E+00     1
   180     1    37        3        2     0.83830480E+02  0.84677049E+02  0.50000000E+00 -0.84656936E+00 -0.16931387E+01  0.00000000E+00     1
   180     1    36        3        2     0.85718801E+02  0.86601439E+02  0.50000000E+00 -0.88263818E+00 -0.17652764E+01  0.00000000E+00     1
   180     1    35        3        2     0.87553304E+02  0.88057502E+02  0.50000000E+00 -0.50419851E+00 -0.10083970E+01  0.00000000E+00     1
   180     1    34        3        2     0.89334930E+02  0.89850152E+02  0.50000000E+00 -0.51522153E+00 -0.10304431E+01  0.00000000E+00     1
   180     1    33        3        2     0.91064754E+02  0.90453136E+02  0.50000000E+00  0.61161817E+00  0.12232363E+01  0.00000000E+00     1
   180     1    32        3        2     0.92743964E+02  0.93355181E+02  0.50000000E+00 -0.61121660E+00 -0.12224332E+01  0.00000000E+00     1
   180     1    31        3        2     0.94373841E+02  0.93876601E+02  0.50000000E+00  0.49724005E+00  0.99448010E+00  0.00000000E+00     1
   180     1    30        3        2     0.95955736E+02  0.95129860E+02  0.50000000E+00  0.82587582E+00  0.16517516E+01  0.00000000E+00     1
   180     1    29        3        2     0.97491048E+02  0.99048400E+02  0.50000000E+00 -0.15573519E+01 -0.31147038E+01  0.00000000E+00     1
   180     1    28        3        2     0.98981202E+02  0.99115197E+02  0.50000000E+00 -0.13399493E+00 -0.26798987E+00  0.00000000E+00     1
   180     1    27        3        2     0.10042763E+03  0.10007130E+03  0.50000000E+00  0.35632445E+00  0.71264891E+00  0.00000000E+00     1
   180     1    26        3        2     0.10183173E+03  0.10181136E+03  0.50000000E+00  0.20369613E-01  0.40739227E-01  0.00000000E+00     1
   180     1    25        3        2     0.10319490E+03  0.10320562E+03  0.50000000E+00 -0.10726124E-01 -0.21452249E-01  0.00000000E+00     1
   180     1    24        3        2     0.10451845E+03  0.10346024E+03  0.50000000E+00  0.10582188E+01  0.21164376E+01  0.00000000E+00     1
   180     1    23        3        2     0.10580368E+03  0.10542330E+03  0.50000000E+00  0.38037560E+00  0.76075120E+00  0.00000000E+00     1
   180     1    22        3        2     0.10705181E+03  0.10729449E+03  0.50000000E+00 -0.24267515E+00 -0.48535030E+00  0.00000000E+00     1
   180     1    21        3        2     0.10826409E+03  0.10826049E+03  0.50000000E+00  0.35965693E-02  0.71931385E-02  0.00000000E+00     1
