% Shemat-Suite version: Shem-FW/AD/SM 7.50 (Smarty)                                                     
%          build: Do 18. Apr 09:27:33 CEST 2019           
%   build command line: gmake fw nohdf PROPS=basc COMPTYPE=ling64                                                                                                                                                                                                                       
%        Project: "salt_small"
%
% <time step> <deltat> <cum time>
%    <iteration> <delta head> <delta temp> (<delta conc> ...)
       0  0.432000E+05  0.000000E+00
          1  0.24597268E-02  0.10000000E-20 -0.40470780E+00
          2 -0.15163897E-01  0.10000000E-20  0.73482487E-02
          3 -0.24667586E-03  0.10000000E-20 -0.16506815E-03
          4 -0.15727194E-05  0.10000000E-20  0.33236720E-05
          5 -0.83430919E-07  0.10000000E-20 -0.62048637E-07
          6  0.15954882E-08  0.10000000E-20 -0.28592464E-08
          7  0.19289459E-08  0.10000000E-20  0.75239925E-10
          8 -0.24003981E-08  0.10000000E-20 -0.36270709E-11
          9  0.20829418E-08  0.10000000E-20 -0.26134650E-12
         10 -0.70184072E-08  0.10000000E-20  0.15820678E-12
         11  0.97477795E-08  0.10000000E-20 -0.26356695E-12
         12 -0.59366343E-08  0.10000000E-20  0.21449509E-12
         13  0.30507437E-08  0.10000000E-20 -0.17552626E-12
         14 -0.12844339E-08  0.10000000E-20 -0.18862689E-12
         15  0.48124349E-09  0.10000000E-20 -0.13918033E-12
         16 -0.12647661E-11  0.10000000E-20 -0.25801583E-12
       1  0.432000E+05  0.500000E+00
          1 -0.12094306E-06  0.10000000E-20 -0.20364484E+00
          2 -0.24764466E-02  0.10000000E-20 -0.16270801E-02
          3  0.35934926E-04  0.10000000E-20  0.14642077E-04
          4 -0.12276231E-06  0.10000000E-20 -0.43353165E-06
          5  0.61128560E-08  0.10000000E-20  0.78510534E-08
          6 -0.71231980E-08  0.10000000E-20 -0.32544215E-09
          7  0.22662547E-08  0.10000000E-20  0.68463013E-11
          8 -0.19195596E-08  0.10000000E-20  0.36107228E-12
          9  0.15982380E-08  0.10000000E-20  0.11474155E-12
         10  0.20644961E-08  0.10000000E-20 -0.16059376E-12
         11 -0.41487311E-08  0.10000000E-20  0.10252910E-12
         12 -0.12533903E-08  0.10000000E-20 -0.86874952E-13
         13  0.25517366E-08  0.10000000E-20  0.11618484E-12
         14  0.11031744E-08  0.10000000E-20 -0.13755663E-12
         15 -0.43049653E-08  0.10000000E-20 -0.87541085E-13
         16  0.65481629E-08  0.10000000E-20 -0.12745360E-12
         17 -0.24181332E-08  0.10000000E-20  0.12678747E-12
         18 -0.17402328E-08  0.10000000E-20 -0.10624834E-12
         19 -0.34947050E-08  0.10000000E-20  0.92093000E-13
         20  0.82946201E-08  0.10000000E-20  0.85986773E-13
         21 -0.33785383E-08  0.10000000E-20 -0.12784218E-12
         22  0.62215051E-08  0.10000000E-20  0.13128387E-12
         23 -0.81495273E-08  0.10000000E-20  0.13938850E-12
         24  0.60892944E-08  0.10000000E-20  0.17330581E-12
         25 -0.63961565E-08  0.10000000E-20  0.14627188E-12
         26 -0.10864269E-08  0.10000000E-20 -0.99642516E-13
         27  0.68516215E-08  0.10000000E-20  0.13067325E-12
         28 -0.19411672E-08  0.10000000E-20 -0.15776269E-12
         29 -0.25397640E-08  0.10000000E-20 -0.72164497E-13
         30  0.25581812E-08  0.10000000E-20  0.11768364E-12
         31 -0.10921042E-10  0.10000000E-20  0.11485257E-12
       2  0.432000E+05  0.100000E+01
          1 -0.17875522E-07  0.10000000E-20 -0.22468887E+00
          2 -0.37283954E-02  0.10000000E-20  0.15575051E-02
          3  0.65997887E-04  0.10000000E-20  0.19977636E-04
          4 -0.37385747E-06  0.10000000E-20  0.41223360E-06
          5 -0.33371116E-07  0.10000000E-20  0.71780566E-08
          6  0.29507078E-07  0.10000000E-20  0.25025026E-09
          7 -0.47213007E-08  0.10000000E-20 -0.48305804E-11
          8  0.46013255E-08  0.10000000E-20  0.25371372E-12
       3  0.155520E+06  0.280000E+01
          1 -0.21674751E-08  0.10000000E-20 -0.91393214E-01
          2  0.18545680E-02  0.10000000E-20  0.48037887E-03
          3  0.24648068E-04  0.10000000E-20  0.46728036E-05
          4 -0.12861033E-06  0.10000000E-20 -0.98539317E-07
          5 -0.31071288E-07  0.10000000E-20 -0.12417776E-08
          6  0.13902849E-07  0.10000000E-20 -0.32596578E-10
          7  0.96780184E-08  0.10000000E-20 -0.49378557E-12
          8 -0.14936617E-07  0.10000000E-20  0.14110935E-12
          9  0.75143376E-08  0.10000000E-20 -0.13133938E-12
         10 -0.57638516E-08  0.10000000E-20  0.16681101E-12
         11 -0.28360816E-08  0.10000000E-20 -0.10846879E-12
         12  0.63110406E-08  0.10000000E-20 -0.61617378E-13
         13 -0.10912792E-07  0.10000000E-20 -0.86611274E-13
         14 -0.22394744E-08  0.10000000E-20  0.73593909E-13
         15  0.16621669E-07  0.10000000E-20  0.81074036E-13
         16 -0.12678086E-07  0.10000000E-20 -0.10083601E-12
         17 -0.51282001E-09  0.10000000E-20  0.15867863E-12
         18  0.11448904E-08  0.10000000E-20 -0.16583956E-12
         19  0.45791921E-08  0.10000000E-20  0.12795320E-12
         20 -0.51778173E-08  0.10000000E-20  0.88984375E-13
         21  0.17209274E-07  0.10000000E-20  0.12154167E-12
         22 -0.17954207E-08  0.10000000E-20  0.10519363E-12
         23 -0.25198652E-07  0.10000000E-20 -0.84210416E-13
         24  0.30476052E-07  0.10000000E-20  0.10622059E-12
         25 -0.26492337E-07  0.10000000E-20  0.11821100E-12
         26  0.29908954E-07  0.10000000E-20 -0.95728980E-13
         27 -0.21329313E-07  0.10000000E-20  0.13335166E-12
         28  0.94871666E-10  0.10000000E-20 -0.11832202E-12
       4  0.155520E+06  0.460000E+01
          1 -0.11280243E-07  0.10000000E-20 -0.45156400E-01
          2  0.12470565E-02  0.10000000E-20 -0.22023259E-03
          3  0.10145279E-04  0.10000000E-20 -0.14435810E-05
          4  0.61436566E-07  0.10000000E-20 -0.26405369E-07
          5 -0.49488591E-08  0.10000000E-20 -0.26777532E-09
          6 -0.16598143E-07  0.10000000E-20 -0.43652304E-11
          7 -0.16417090E-08  0.10000000E-20 -0.11746160E-12
          8  0.12605824E-07  0.10000000E-20  0.70568551E-13
          9 -0.10367160E-07  0.10000000E-20 -0.12141677E-12
         10 -0.11406378E-07  0.10000000E-20  0.11823875E-12
         11  0.10356388E-07  0.10000000E-20  0.99462105E-13
         12  0.17711415E-07  0.10000000E-20 -0.10624834E-12
         13 -0.20702643E-07  0.10000000E-20 -0.89692143E-13
         14 -0.13648091E-07  0.10000000E-20  0.11568524E-12
         15  0.17813342E-07  0.10000000E-20 -0.96866959E-13
         16 -0.40880792E-08  0.10000000E-20 -0.81171181E-13
       5  0.155520E+06  0.640000E+01
          1 -0.72703301E-08  0.10000000E-20 -0.25557214E-01
          2  0.83787766E-03  0.10000000E-20 -0.10620073E-03
          3  0.44319515E-05  0.10000000E-20 -0.61793556E-06
