% Shemat-Suite version: Shem-FW/AD/SM 7.50 (Smarty)                                                     
%          build: Do 18. Apr 09:27:33 CEST 2019           
%   build command line: gmake fw nohdf PROPS=basc COMPTYPE=ling64                                                                                                                                                                                                                       
%        Project: "salt_small"
%
% <time step> <deltat> <cum time>
%    <iteration> <delta head> <delta temp> (<delta conc> ...)
       0  0.432000E+05  0.000000E+00
          1  0.24597268E-02  0.10000000E-20 -0.40470780E+00
          2 -0.15163897E-01  0.10000000E-20  0.73482487E-02
          3 -0.24667586E-03  0.10000000E-20 -0.16506815E-03
          4 -0.15727194E-05  0.10000000E-20  0.33236720E-05
          5 -0.83430919E-07  0.10000000E-20 -0.62048637E-07
          6  0.15954882E-08  0.10000000E-20 -0.28592464E-08
          7  0.19289459E-08  0.10000000E-20  0.75239925E-10
          8 -0.24003981E-08  0.10000000E-20 -0.36270709E-11
          9  0.20829418E-08  0.10000000E-20 -0.26134650E-12
         10 -0.70184072E-08  0.10000000E-20  0.15820678E-12
         11  0.97477795E-08  0.10000000E-20 -0.26356695E-12
         12 -0.59366343E-08  0.10000000E-20  0.21449509E-12
         13  0.30507437E-08  0.10000000E-20 -0.17552626E-12
         14 -0.12844339E-08  0.10000000E-20 -0.18862689E-12
         15  0.48124349E-09  0.10000000E-20 -0.13918033E-12
         16 -0.12647661E-11  0.10000000E-20 -0.25801583E-12
       1  0.432000E+05  0.500000E+00
          1 -0.12094306E-06  0.10000000E-20 -0.20364484E+00
          2 -0.24764466E-02  0.10000000E-20 -0.16270801E-02
          3  0.35934926E-04  0.10000000E-20  0.14642077E-04
          4 -0.12276231E-06  0.10000000E-20 -0.43353165E-06
          5  0.61128560E-08  0.10000000E-20  0.78510534E-08
          6 -0.71231980E-08  0.10000000E-20 -0.32544215E-09
          7  0.22662547E-08  0.10000000E-20  0.68463013E-11
          8 -0.19195596E-08  0.10000000E-20  0.36107228E-12
          9  0.15982380E-08  0.10000000E-20  0.11474155E-12
         10  0.20644961E-08  0.10000000E-20 -0.16059376E-12
         11 -0.41487311E-08  0.10000000E-20  0.10252910E-12
         12 -0.12533903E-08  0.10000000E-20 -0.86874952E-13
         13  0.25517366E-08  0.10000000E-20  0.11618484E-12
         14  0.11031744E-08  0.10000000E-20 -0.13755663E-12
         15 -0.43049653E-08  0.10000000E-20 -0.87541085E-13
         16  0.65481629E-08  0.10000000E-20 -0.12745360E-12
         17 -0.24181332E-08  0.10000000E-20  0.12678747E-12
         18 -0.17402328E-08  0.10000000E-20 -0.10624834E-12
         19 -0.34947050E-08  0.10000000E-20  0.92093000E-13
         20  0.82946201E-08  0.10000000E-20  0.85986773E-13
         21 -0.33785383E-08  0.10000000E-20 -0.12784218E-12
         22  0.62215051E-08  0.10000000E-20  0.13128387E-12
         23 -0.81495273E-08  0.10000000E-20  0.13938850E-12
         24  0.60892944E-08  0.10000000E-20  0.17330581E-12
         25 -0.63961565E-08  0.10000000E-20  0.14627188E-12
         26 -0.10864269E-08  0.10000000E-20 -0.99642516E-13
         27  0.68516215E-08  0.10000000E-20  0.13067325E-12
         28 -0.19411672E-08  0.10000000E-20 -0.15776269E-12
         29 -0.25397640E-08  0.10000000E-20 -0.72164497E-13
         30  0.25581812E-08  0.10000000E-20  0.11768364E-12
         31 -0.10921042E-10  0.10000000E-20  0.11485257E-12
       2  0.432000E+05  0.100000E+01
          1 -0.69728827E-08  0.10000000E-20 -0.10988350E+00
          2 -0.16105889E-02  0.10000000E-20 -0.60619115E-03
          3  0.15318286E-04  0.10000000E-20  0.43073524E-05
          4 -0.42939909E-07  0.10000000E-20 -0.64033862E-07
          5 -0.42573873E-08  0.10000000E-20  0.88384317E-09
          6  0.44645461E-08  0.10000000E-20  0.24700159E-10
          7 -0.20274200E-08  0.10000000E-20  0.43345882E-12
          8  0.58358296E-09  0.10000000E-20 -0.76216811E-13
          9  0.40086405E-08  0.10000000E-20 -0.98643316E-13
         10 -0.34577212E-08  0.10000000E-20 -0.10558221E-12
         11  0.73342221E-09  0.10000000E-20  0.49960036E-13
         12 -0.22957849E-08  0.10000000E-20  0.74440454E-13
         13  0.21582522E-08  0.10000000E-20 -0.87485574E-13
       3  0.388800E+05  0.145000E+01
          1  0.44750976E-08  0.10000000E-20 -0.71518432E-01
          2 -0.11850045E-02  0.10000000E-20 -0.29794706E-03
          3  0.92614997E-05  0.10000000E-20  0.19293056E-05
          4  0.27010230E-07  0.10000000E-20  0.19494852E-07
          5 -0.28224747E-08  0.10000000E-20 -0.16881635E-09
          6  0.15900596E-08  0.10000000E-20  0.32234770E-11
          7 -0.10101715E-08  0.10000000E-20 -0.83461016E-13
          8  0.28985880E-09  0.10000000E-20  0.71470607E-13
          9 -0.14385648E-09  0.10000000E-20 -0.53179683E-13
       4  0.388800E+05  0.190000E+01
          1 -0.47292374E-08  0.10000000E-20 -0.48982039E-01
          2 -0.88917968E-03  0.10000000E-20  0.16706184E-03
          3  0.62610697E-05  0.10000000E-20  0.10020063E-05
          4 -0.18195088E-07  0.10000000E-20  0.85768746E-08
          5  0.97382014E-09  0.10000000E-20  0.55061178E-10
          6  0.28217073E-09  0.10000000E-20 -0.79666829E-12
          7  0.85820773E-09  0.10000000E-20  0.76633144E-13
          8  0.71360517E-09  0.10000000E-20  0.52735594E-13
          9 -0.37270098E-08  0.10000000E-20  0.56232796E-13
         10 -0.98740571E-09  0.10000000E-20 -0.10813572E-12
         11  0.17236630E-08  0.10000000E-20 -0.80824236E-13
         12  0.31429792E-08  0.10000000E-20 -0.45158322E-13
         13 -0.25917686E-08  0.10000000E-20  0.80185858E-13
         14 -0.84859408E-09  0.10000000E-20  0.78187457E-13
         15 -0.71146644E-09  0.10000000E-20  0.62172489E-13
         16  0.86237861E-09  0.10000000E-20 -0.56898930E-13
         17  0.56949290E-09  0.10000000E-20  0.54817262E-13
         18  0.28336444E-09  0.10000000E-20 -0.71886941E-13
         19 -0.32960372E-08  0.10000000E-20  0.65947248E-13
         20  0.67473991E-08  0.10000000E-20  0.46768145E-13
         21 -0.13188668E-08  0.10000000E-20  0.82933660E-13
         22  0.25827447E-08  0.10000000E-20 -0.72608586E-13
         23 -0.15885746E-08  0.10000000E-20  0.62200245E-13
         24  0.12981047E-08  0.10000000E-20 -0.71748163E-13
         25  0.21425777E-08  0.10000000E-20  0.13297696E-12
         26 -0.74575368E-08  0.10000000E-20 -0.79991569E-13
         27  0.26125591E-08  0.10000000E-20 -0.10724754E-12
         28 -0.17312942E-08  0.10000000E-20  0.10175194E-12
         29  0.12963994E-08  0.10000000E-20 -0.86125551E-13
         30  0.25740619E-08  0.10000000E-20  0.60451644E-13
         31 -0.58486904E-09  0.10000000E-20 -0.77826634E-13
         32 -0.57052318E-09  0.10000000E-20  0.60729199E-13
       5  0.388800E+05  0.235000E+01
          1  0.39389860E-08  0.10000000E-20 -0.35507905E-01
          2  0.70065769E-03  0.10000000E-20  0.11095089E-03
