%       "time"           "x"            "y"           "z"      "uindex"    "i"  "j"  "k"          "head"           "temp"           "pres"    "satn"           "epot"             "vx"             "vy"             "vz"          "bhpr"            "kz" 
%
  0.000000000E+00  0.728500E+03   0.738500E+03   0.100000E+02         1    25    35     1  0.20000000E+02   0.20000000E+02   0.19810000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.000000000E+00  0.722000E+03   0.738500E+03   0.100000E+02         1    20    35     1  0.20000000E+02   0.20000000E+02   0.19810000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.000000000E+00  0.707500E+03   0.738500E+03   0.100000E+02         1    15    35     1  0.20000000E+02   0.20000000E+02   0.19810000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.000000000E+00  0.675000E+03   0.738500E+03   0.100000E+02         1    10    35     1  0.20000000E+02   0.20000000E+02   0.19810000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.000000000E+00  0.580000E+03   0.738500E+03   0.100000E+02         1     5    35     1  0.20000000E+02   0.20000000E+02   0.19810000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.10000000E-11
%
  0.350000000E-01  0.728500E+03   0.738500E+03   0.100000E+02         1    25    35     1  0.19465809E+02   0.20000000E+02   0.19285958E+00   0.00000000E+00   0.00000000E+00   0.58672290E-06   0.75709263E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.350000000E-01  0.722000E+03   0.738500E+03   0.100000E+02         1    20    35     1  0.19726891E+02   0.20000000E+02   0.19542080E+00   0.00000000E+00   0.00000000E+00   0.25994341E-06   0.51992394E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.350000000E-01  0.707500E+03   0.738500E+03   0.100000E+02         1    15    35     1  0.19926160E+02   0.20000000E+02   0.19737563E+00   0.00000000E+00   0.00000000E+00   0.63246208E-07   0.15253031E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.350000000E-01  0.675000E+03   0.738500E+03   0.100000E+02         1    10    35     1  0.19994553E+02   0.20000000E+02   0.19804656E+00   0.00000000E+00   0.00000000E+00   0.44228622E-08   0.85736218E-17   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.350000000E-01  0.580000E+03   0.738500E+03   0.100000E+02         1     5    35     1  0.19999994E+02   0.20000000E+02   0.19809994E+00   0.00000000E+00   0.00000000E+00   0.78900549E-11  -0.17426061E-19   0.00000000E+00   0.00000000E+00   0.10000000E-11
%
  0.700000000E-01  0.728500E+03   0.738500E+03   0.100000E+02         1    25    35     1  0.19167242E+02   0.20000000E+02   0.18993064E+00   0.00000000E+00   0.00000000E+00   0.71635095E-06   0.13151622E-14   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.700000000E-01  0.722000E+03   0.738500E+03   0.100000E+02         1    20    35     1  0.19508507E+02   0.20000000E+02   0.19327845E+00   0.00000000E+00   0.00000000E+00   0.36919712E-06   0.93752206E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.700000000E-01  0.707500E+03   0.738500E+03   0.100000E+02         1    15    35     1  0.19828438E+02   0.20000000E+02   0.19641698E+00   0.00000000E+00   0.00000000E+00   0.11918978E-06   0.25159746E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.700000000E-01  0.675000E+03   0.738500E+03   0.100000E+02         1    10    35     1  0.19981191E+02   0.20000000E+02   0.19791548E+00   0.00000000E+00   0.00000000E+00   0.12974299E-07   0.16885853E-16   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.700000000E-01  0.580000E+03   0.738500E+03   0.100000E+02         1     5    35     1  0.19999960E+02   0.20000000E+02   0.19809961E+00   0.00000000E+00   0.00000000E+00   0.42423626E-10  -0.24396485E-18   0.00000000E+00   0.00000000E+00   0.10000000E-11
%
  0.105000000E+00  0.728500E+03   0.738500E+03   0.100000E+02         1    25    35     1  0.18984810E+02   0.20000000E+02   0.18814098E+00   0.00000000E+00   0.00000000E+00   0.75263059E-06   0.12592072E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.105000000E+00  0.722000E+03   0.738500E+03   0.100000E+02         1    20    35     1  0.19353172E+02   0.20000000E+02   0.19175461E+00   0.00000000E+00   0.00000000E+00   0.41290195E-06   0.21230170E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.105000000E+00  0.707500E+03   0.738500E+03   0.100000E+02         1    15    35     1  0.19735304E+02   0.20000000E+02   0.19550333E+00   0.00000000E+00   0.00000000E+00   0.15590192E-06   0.13175844E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.105000000E+00  0.675000E+03   0.738500E+03   0.100000E+02         1    10    35     1  0.19961062E+02   0.20000000E+02   0.19771802E+00   0.00000000E+00   0.00000000E+00   0.23298357E-07  -0.87130302E-18   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.105000000E+00  0.580000E+03   0.738500E+03   0.100000E+02         1     5    35     1  0.19999863E+02   0.20000000E+02   0.19809866E+00   0.00000000E+00   0.00000000E+00   0.12796077E-09   0.40602721E-17   0.00000000E+00   0.00000000E+00   0.10000000E-11
%
