         i                j             k               h               T              conc               kz     lz     por 
     2  1.0000000000E-01     2     0   0   1   0   0   0
             22             16              1  1.0527612000E+01  1.0000000000E+01  6.0005844000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432877000E+01  1.0000000000E+01  5.9997001000E-02  8.5719887000E-13  3.E+00  1.E-01
     4  3.0000000000E-01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  6.0105278000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  5.9996787000E-02  8.5719887000E-13  3.E+00  1.E-01
     6  5.0000000000E-01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  6.0471824000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  5.9997090000E-02  8.5719887000E-13  3.E+00  1.E-01
     8  7.0000000000E-01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  6.1204739000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  5.9998213000E-02  8.5719887000E-13  3.E+00  1.E-01
    10  9.0000000000E-01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  6.2271343000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  6.0001763000E-02  8.5719887000E-13  3.E+00  1.E-01
    12  1.1000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  6.3563976000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  6.0010948000E-02  8.5719887000E-13  3.E+00  1.E-01
    14  1.3000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  6.4965145000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  6.0030634000E-02  8.5719887000E-13  3.E+00  1.E-01
    16  1.5000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  6.6380268000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  6.0066915000E-02  8.5719887000E-13  3.E+00  1.E-01
    18  1.7000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  6.7745039000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  6.0126336000E-02  8.5719887000E-13  3.E+00  1.E-01
    20  1.9000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  6.9021348000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  6.0215055000E-02  8.5719887000E-13  3.E+00  1.E-01
    22  2.1000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.0190277000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  6.0338153000E-02  8.5719887000E-13  3.E+00  1.E-01
    24  2.3000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.1245676000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  6.0499215000E-02  8.5719887000E-13  3.E+00  1.E-01
    26  2.5000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.2189289000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  6.0700172000E-02  8.5719887000E-13  3.E+00  1.E-01
    28  2.7000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.3027361000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  6.0941358000E-02  8.5719887000E-13  3.E+00  1.E-01
    30  2.9000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.3768422000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  6.1221708000E-02  8.5719887000E-13  3.E+00  1.E-01
    32  3.1000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.4421881000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  6.1539023000E-02  8.5719887000E-13  3.E+00  1.E-01
    34  3.3000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.4997195000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  6.1890265000E-02  8.5719887000E-13  3.E+00  1.E-01
    36  3.5000000000E+00     2     0   0   1   0   0   0
