%       "time"           "x"            "y"           "z"      "uindex"    "i"  "j"  "k"          "head"           "temp"           "pres"    "satn"           "epot"       "conc0001",            "vx"             "vy"             "vz"          "bhpr"            "kz" 
%
  0.000000000E+00  0.430000E+02   0.310000E+02   0.100000E+01       489    22    16     1  0.10500000E+02   0.10000000E+02   0.19316704E+00   0.00000000E+00   0.00000000E+00   0.60000000E-01   0.00000000E+00   0.39861422E-06   0.00000000E+00   0.00000000E+00   0.24612355E-11
  0.000000000E+00  0.190000E+02   0.310000E+02   0.100000E+01       477    10    16     1  0.10500000E+02   0.10000000E+02   0.19316704E+00   0.00000000E+00   0.00000000E+00   0.60000000E-01   0.00000000E+00   0.13021682E-06   0.00000000E+00   0.00000000E+00   0.85719887E-12
%
  0.100000000E+00  0.430000E+02   0.310000E+02   0.100000E+01       489    22    16     1  0.10527612E+02   0.10000000E+02   0.19343783E+00   0.00000000E+00   0.00000000E+00   0.60005844E-01   0.15150184E-07   0.27590251E-06   0.00000000E+00   0.00000000E+00   0.24612355E-11
  0.100000000E+00  0.190000E+02   0.310000E+02   0.100000E+01       477    10    16     1  0.10432877E+02   0.10000000E+02   0.19250877E+00   0.00000000E+00   0.00000000E+00   0.59997001E-01   0.71432604E-08   0.73790643E-07   0.00000000E+00   0.00000000E+00   0.85719887E-12
%
  0.200000000E+00  0.430000E+02   0.310000E+02   0.100000E+01       489    22    16     1  0.10527492E+02   0.10000000E+02   0.19343666E+00   0.00000000E+00   0.00000000E+00   0.60033130E-01   0.15089900E-07   0.27593380E-06   0.00000000E+00   0.00000000E+00   0.24612355E-11
  0.200000000E+00  0.190000E+02   0.310000E+02   0.100000E+01       477    10    16     1  0.10432579E+02   0.10000000E+02   0.19250584E+00   0.00000000E+00   0.00000000E+00   0.59996795E-01   0.71236444E-08   0.73747597E-07   0.00000000E+00   0.00000000E+00   0.85719887E-12
%
  0.300000000E+00  0.430000E+02   0.310000E+02   0.100000E+01       489    22    16     1  0.10527492E+02   0.10000000E+02   0.19343665E+00   0.00000000E+00   0.00000000E+00   0.60105278E-01   0.15089508E-07   0.27593387E-06   0.00000000E+00   0.00000000E+00   0.24612355E-11
  0.300000000E+00  0.190000E+02   0.310000E+02   0.100000E+01       477    10    16     1  0.10432577E+02   0.10000000E+02   0.19250582E+00   0.00000000E+00   0.00000000E+00   0.59996787E-01   0.71234349E-08   0.73747464E-07   0.00000000E+00   0.00000000E+00   0.85719887E-12
%
  0.400000000E+00  0.430000E+02   0.310000E+02   0.100000E+01       489    22    16     1  0.10527492E+02   0.10000000E+02   0.19343665E+00   0.00000000E+00   0.00000000E+00   0.60245697E-01   0.15089506E-07   0.27593387E-06   0.00000000E+00   0.00000000E+00   0.24612355E-11
  0.400000000E+00  0.190000E+02   0.310000E+02   0.100000E+01       477    10    16     1  0.10432577E+02   0.10000000E+02   0.19250582E+00   0.00000000E+00   0.00000000E+00   0.59996884E-01   0.71234332E-08   0.73747463E-07   0.00000000E+00   0.00000000E+00   0.85719887E-12
%
  0.500000000E+00  0.430000E+02   0.310000E+02   0.100000E+01       489    22    16     1  0.10527492E+02   0.10000000E+02   0.19343665E+00   0.00000000E+00   0.00000000E+00   0.60471824E-01   0.15089506E-07   0.27593387E-06   0.00000000E+00   0.00000000E+00   0.24612355E-11
  0.500000000E+00  0.190000E+02   0.310000E+02   0.100000E+01       477    10    16     1  0.10432577E+02   0.10000000E+02   0.19250582E+00   0.00000000E+00   0.00000000E+00   0.59997090E-01   0.71234332E-08   0.73747463E-07   0.00000000E+00   0.00000000E+00   0.85719887E-12
%
  0.600000000E+00  0.430000E+02   0.310000E+02   0.100000E+01       489    22    16     1  0.10527492E+02   0.10000000E+02   0.19343665E+00   0.00000000E+00   0.00000000E+00   0.60791849E-01   0.15089506E-07   0.27593387E-06   0.00000000E+00   0.00000000E+00   0.24612355E-11
  0.600000000E+00  0.190000E+02   0.310000E+02   0.100000E+01       477    10    16     1  0.10432577E+02   0.10000000E+02   0.19250582E+00   0.00000000E+00   0.00000000E+00   0.59997483E-01   0.71234332E-08   0.73747463E-07   0.00000000E+00   0.00000000E+00   0.85719887E-12
%
  0.700000000E+00  0.430000E+02   0.310000E+02   0.100000E+01       489    22    16     1  0.10527492E+02   0.10000000E+02   0.19343665E+00   0.00000000E+00   0.00000000E+00   0.61204739E-01   0.15089506E-07   0.27593387E-06   0.00000000E+00   0.00000000E+00   0.24612355E-11
  0.700000000E+00  0.190000E+02   0.310000E+02   0.100000E+01       477    10    16     1  0.10432577E+02   0.10000000E+02   0.19250582E+00   0.00000000E+00   0.00000000E+00   0.59998213E-01   0.71234332E-08   0.73747463E-07   0.00000000E+00   0.00000000E+00   0.85719887E-12
%
  0.800000000E+00  0.430000E+02   0.310000E+02   0.100000E+01       489    22    16     1  0.10527492E+02   0.10000000E+02   0.19343665E+00   0.00000000E+00   0.00000000E+00   0.61702205E-01   0.15089506E-07   0.27593387E-06   0.00000000E+00   0.00000000E+00   0.24612355E-11
  0.800000000E+00  0.190000E+02   0.310000E+02   0.100000E+01       477    10    16     1  0.10432577E+02   0.10000000E+02   0.19250582E+00   0.00000000E+00   0.00000000E+00   0.59999525E-01   0.71234332E-08   0.73747463E-07   0.00000000E+00   0.00000000E+00   0.85719887E-12
%
  0.900000000E+00  0.430000E+02   0.310000E+02   0.100000E+01       489    22    16     1  0.10527492E+02   0.10000000E+02   0.19343665E+00   0.00000000E+00   0.00000000E+00   0.62271343E-01   0.15089506E-07   0.27593387E-06   0.00000000E+00   0.00000000E+00   0.24612355E-11
  0.900000000E+00  0.190000E+02   0.310000E+02   0.100000E+01       477    10    16     1  0.10432577E+02   0.10000000E+02   0.19250582E+00   0.00000000E+00   0.00000000E+00   0.60001763E-01   0.71234332E-08   0.73747463E-07   0.00000000E+00   0.00000000E+00   0.85719887E-12
%
  0.100000000E+01  0.430000E+02   0.310000E+02   0.100000E+01       489    22    16     1  0.10527492E+02   0.10000000E+02   0.19343665E+00   0.00000000E+00   0.00000000E+00   0.62897065E-01   0.15089506E-07   0.27593387E-06   0.00000000E+00   0.00000000E+00   0.24612355E-11
  0.100000000E+01  0.190000E+02   0.310000E+02   0.100000E+01       477    10    16     1  0.10432577E+02   0.10000000E+02   0.19250582E+00   0.00000000E+00   0.00000000E+00   0.60005383E-01   0.71234332E-08   0.73747463E-07   0.00000000E+00   0.00000000E+00   0.85719887E-12
%
  0.110000000E+01  0.430000E+02   0.310000E+02   0.100000E+01       489    22    16     1  0.10527492E+02   0.10000000E+02   0.19343665E+00   0.00000000E+00   0.00000000E+00   0.63563976E-01   0.15089506E-07   0.27593387E-06   0.00000000E+00   0.00000000E+00   0.24612355E-11
  0.110000000E+01  0.190000E+02   0.310000E+02   0.100000E+01       477    10    16     1  0.10432577E+02   0.10000000E+02   0.19250582E+00   0.00000000E+00   0.00000000E+00   0.60010948E-01   0.71234332E-08   0.73747463E-07   0.00000000E+00   0.00000000E+00   0.85719887E-12
%
  0.120000000E+01  0.430000E+02   0.310000E+02   0.100000E+01       489    22    16     1  0.10527492E+02   0.10000000E+02   0.19343665E+00   0.00000000E+00   0.00000000E+00   0.64257614E-01   0.15089506E-07   0.27593387E-06   0.00000000E+00   0.00000000E+00   0.24612355E-11
  0.120000000E+01  0.190000E+02   0.310000E+02   0.100000E+01       477    10    16     1  0.10432577E+02   0.10000000E+02   0.19250582E+00   0.00000000E+00   0.00000000E+00   0.60019118E-01   0.71234332E-08   0.73747463E-07   0.00000000E+00   0.00000000E+00   0.85719887E-12
%
  0.130000000E+01  0.430000E+02   0.310000E+02   0.100000E+01       489    22    16     1  0.10527492E+02   0.10000000E+02   0.19343665E+00   0.00000000E+00   0.00000000E+00   0.64965145E-01   0.15089506E-07   0.27593387E-06   0.00000000E+00   0.00000000E+00   0.24612355E-11
  0.130000000E+01  0.190000E+02   0.310000E+02   0.100000E+01       477    10    16     1  0.10432577E+02   0.10000000E+02   0.19250582E+00   0.00000000E+00   0.00000000E+00   0.60030634E-01   0.71234332E-08   0.73747463E-07   0.00000000E+00   0.00000000E+00   0.85719887E-12
%
  0.140000000E+01  0.430000E+02   0.310000E+02   0.100000E+01       489    22    16     1  0.10527492E+02   0.10000000E+02   0.19343665E+00   0.00000000E+00   0.00000000E+00   0.65675672E-01   0.15089506E-07   0.27593387E-06   0.00000000E+00   0.00000000E+00   0.24612355E-11
