         i                j             k               h               T              conc               kz     lz     por 
     2  1.0000000000E-01     2     0   0   1   0   0   0
             22             16              1  1.5419523000E+01  4.0000000000E+01  6.0013707000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4430934000E+01  4.0000000000E+01  5.9961406000E-03  8.5774568000E-11  3.E+00  1.E-01
     4  3.0000000000E-01     2     0   0   1   0   0   0
             22             16              1  1.5411793000E+01  4.0000000000E+01  6.0008001000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396885000E+01  4.0000000000E+01  5.9951945000E-03  8.5774568000E-11  3.E+00  1.E-01
     6  5.0000000000E-01     2     0   0   1   0   0   0
             22             16              1  1.5411747000E+01  4.0000000000E+01  6.0018552000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  5.9947330000E-03  8.5774568000E-11  3.E+00  1.E-01
     8  7.0000000000E-01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  6.0070955000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  5.9944770000E-03  8.5774568000E-11  3.E+00  1.E-01
    10  9.0000000000E-01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  6.0233880000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  5.9943640000E-03  8.5774568000E-11  3.E+00  1.E-01
    12  1.1000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  6.0608118000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  5.9943488000E-03  8.5774568000E-11  3.E+00  1.E-01
    14  1.3000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  6.1292228000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  5.9943997000E-03  8.5774568000E-11  3.E+00  1.E-01
    16  1.5000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  6.2341012000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  5.9944953000E-03  8.5774568000E-11  3.E+00  1.E-01
    18  1.7000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  6.3740698000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  5.9946211000E-03  8.5774568000E-11  3.E+00  1.E-01
    20  1.9000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  6.5411939000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  5.9947674000E-03  8.5774568000E-11  3.E+00  1.E-01
    22  2.1000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  6.7234674000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  5.9949278000E-03  8.5774568000E-11  3.E+00  1.E-01
    24  2.3000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  6.9080299000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  5.9950978000E-03  8.5774568000E-11  3.E+00  1.E-01
    26  2.5000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.0838210000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  5.9952742000E-03  8.5774568000E-11  3.E+00  1.E-01
    28  2.7000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.2430451000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  5.9954552000E-03  8.5774568000E-11  3.E+00  1.E-01
    30  2.9000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.3814651000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  5.9956398000E-03  8.5774568000E-11  3.E+00  1.E-01
    32  3.1000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.4978939000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  5.9958284000E-03  8.5774568000E-11  3.E+00  1.E-01
    34  3.3000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.5933241000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  5.9960227000E-03  8.5774568000E-11  3.E+00  1.E-01
    36  3.5000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.6700315000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  5.9962266000E-03  8.5774568000E-11  3.E+00  1.E-01
    38  3.7000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.7308434000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  5.9964461000E-03  8.5774568000E-11  3.E+00  1.E-01
    40  3.9000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.7786326000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  5.9966903000E-03  8.5774568000E-11  3.E+00  1.E-01
    42  4.1000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.8160226000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  5.9969717000E-03  8.5774568000E-11  3.E+00  1.E-01
    44  4.3000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.8452539000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  5.9973070000E-03  8.5774568000E-11  3.E+00  1.E-01
    46  4.5000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.8681546000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  5.9977172000E-03  8.5774568000E-11  3.E+00  1.E-01
    48  4.7000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.8861704000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  5.9982284000E-03  8.5774568000E-11  3.E+00  1.E-01
    50  4.9000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9004214000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  5.9988722000E-03  8.5774568000E-11  3.E+00  1.E-01
    52  5.1000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9117637000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  5.9996857000E-03  8.5774568000E-11  3.E+00  1.E-01
    54  5.3000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9208476000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.0007115000E-03  8.5774568000E-11  3.E+00  1.E-01
    56  5.5000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9281666000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.0019980000E-03  8.5774568000E-11  3.E+00  1.E-01
    58  5.7000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9340958000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.0035990000E-03  8.5774568000E-11  3.E+00  1.E-01
    60  5.9000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9389222000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.0055733000E-03  8.5774568000E-11  3.E+00  1.E-01
    62  6.1000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9428669000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.0079840000E-03  8.5774568000E-11  3.E+00  1.E-01
    64  6.3000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9461020000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.0108979000E-03  8.5774568000E-11  3.E+00  1.E-01
    66  6.5000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9487625000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.0143847000E-03  8.5774568000E-11  3.E+00  1.E-01
    68  6.7000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9509553000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.0185160000E-03  8.5774568000E-11  3.E+00  1.E-01
    70  6.9000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9527656000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.0233639000E-03  8.5774568000E-11  3.E+00  1.E-01
    72  7.1000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9542624000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.0290003000E-03  8.5774568000E-11  3.E+00  1.E-01
    74  7.3000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9555010000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.0354955000E-03  8.5774568000E-11  3.E+00  1.E-01
    76  7.5000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9565270000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.0429166000E-03  8.5774568000E-11  3.E+00  1.E-01
    78  7.7000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9573772000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.0513270000E-03  8.5774568000E-11  3.E+00  1.E-01
    80  7.9000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9580822000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.0607848000E-03  8.5774568000E-11  3.E+00  1.E-01
    82  8.1000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9586670000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.0713418000E-03  8.5774568000E-11  3.E+00  1.E-01
    84  8.3000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9591522000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.0830426000E-03  8.5774568000E-11  3.E+00  1.E-01
    86  8.5000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9595550000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.0959236000E-03  8.5774568000E-11  3.E+00  1.E-01
    88  8.7000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9598894000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.1100125000E-03  8.5774568000E-11  3.E+00  1.E-01
    90  8.9000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9601671000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.1253277000E-03  8.5774568000E-11  3.E+00  1.E-01
    92  9.1000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9603979000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.1418779000E-03  8.5774568000E-11  3.E+00  1.E-01
    94  9.3000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9605898000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.1596618000E-03  8.5774568000E-11  3.E+00  1.E-01
    96  9.5000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9607493000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.1786685000E-03  8.5774568000E-11  3.E+00  1.E-01
    98  9.7000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9608821000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.1988769000E-03  8.5774568000E-11  3.E+00  1.E-01
   100  9.9000000000E+00     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9609927000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.2202566000E-03  8.5774568000E-11  3.E+00  1.E-01
   102  1.0100000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9610848000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.2427682000E-03  8.5774568000E-11  3.E+00  1.E-01
   104  1.0300000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9611616000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.2663638000E-03  8.5774568000E-11  3.E+00  1.E-01
   106  1.0500000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9612258000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.2909877000E-03  8.5774568000E-11  3.E+00  1.E-01
   108  1.0700000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9612793000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.3165769000E-03  8.5774568000E-11  3.E+00  1.E-01
   110  1.0900000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9613241000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.3430625000E-03  8.5774568000E-11  3.E+00  1.E-01
   112  1.1100000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9613616000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.3703703000E-03  8.5774568000E-11  3.E+00  1.E-01
   114  1.1300000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9613930000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.3984215000E-03  8.5774568000E-11  3.E+00  1.E-01
   116  1.1500000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9614193000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.4271339000E-03  8.5774568000E-11  3.E+00  1.E-01
   118  1.1700000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9614415000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.4564230000E-03  8.5774568000E-11  3.E+00  1.E-01
   120  1.1900000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9614601000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.4862023000E-03  8.5774568000E-11  3.E+00  1.E-01
   122  1.2100000000E+01     2     0   0   1   0   0   0
             22             16              1  1.5411746000E+01  4.0000000000E+01  7.9614757000E-03  2.4600561000E-10  3.E+00  1.E-01
             10             16              1  1.4396751000E+01  4.0000000000E+01  6.5163851000E-03  8.5774568000E-11  3.E+00  1.E-01
   124  1.2300000000E+01     2     0   0   1   0   0   0
